symbol,market_cap_b,pe_ratio,pb_ratio,dividend_yield,beta,ytd_change,52w_high,52w_low,turnover_ratio
PTT,921.1566290625,12.96,0.81,6.57,0.55,1.5748031496062993,34.75,27.0,0.07999999821186066
KBANK,392.1237166415,8.05,0.68,7.25,0.44,6.430868167202572,173.0,145.0,0.20999999344348907
BBL,283.463169759,5.99,0.49,5.72,0.45,-1.6556291390728477,161.5,131.0,0.17000000178813934
SCB,427.622625322,8.92,0.89,8.22,0.5,8.085106382978724,133.0,108.5,0.12999999523162842
CPALL,431.188864704,15.78,3.37,2.83,1.01,-13.90134529147982,68.0,41.5,0.10000000149011612
AOT,621.42795,33.53,4.89,1.82,1.39,-26.89075630252101,64.5,26.75,0.44999998807907104
ADVANC,865.495033176,21.85,8.51,3.65,0.73,1.3937282229965158,309.0,259.0,0.07999999821186066
TRUE,386.98352897120003,,5.03,,0.81,0.9009009009008977,13.3,10.1,0.5400000214576721
GULF,646.14797978975,8.09,2.05,,1.86,,51.25,37.75,0.07999999821186066
GPSC,109.969445313,22.31,1.01,2.31,1.46,1.9607843137254901,49.25,22.4,0.12999999523162842
IVL,122.3972315944,159.47,0.93,3.21,1.16,-12.44979919678714,27.5,16.9,0.6800000071525574
TOP,80.418080376,9.43,0.48,5.28,1.33,27.43362831858407,51.75,21.0,0.6100000143051147
CPN,244.596,14.78,2.46,3.85,1.21,-4.385964912280702,68.75,41.0,0.15000000596046448
AWC,71.709055264,11.25,0.78,3.35,1.42,-36.36363636363636,3.86,1.55,0.20999999344348907
MINT,130.409470471,17.91,1.49,2.61,1.08,-11.538461538461538,29.5,21.7,0.15000000596046448
