symbol,name_en,name_th,market,industry,sector
2S,2S METAL PUBLIC COMPANY LIMITED,บริษัท 2 เอส เมทัล จำกัด (มหาชน),SET,INDUS,STEEL
3BBIF,3BB INTERNET INFRASTRUCTURE FUND,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี,SET,TECH,ICT
A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),SET,PROPCON,PROP
A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),SET,PROPCON,PROP
AAI,Asian Alliance International Public Company Limited,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,AGRO,FOOD
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),SET,SERVICE,TRANS
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG
ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),SET,RESOURC,ENERG
ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),SET,INDUS,AUTO
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),SET,TECH,ICT
ADVICE,Advice IT Infinite Public Company Limited,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),SET,SERVICE,COMM
AE,ALL ENERGY & UTILITIES PUBLIC COMPANY LIMITED,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),SET,RESOURC,ENERG
AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),SET,FINCIAL,FIN
AFC,ASIA FIBER PUBLIC COMPANY LIMITED,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),SET,CONSUMP,FASHION
AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),SET,RESOURC,ENERG
AH,AAPICO HITECH PUBLIC COMPANY LIMITED,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),SET,INDUS,AUTO
AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),SET,SERVICE,HELTH
AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),SET,RESOURC,ENERG
AIE,AI ENERGY PUBLIC COMPANY LIMITED,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),SET,RESOURC,ENERG
AIMCG,AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,SET,PROPCON,PF&REIT
AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,SET,PROPCON,PF&REIT
AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",บริษัท แอ็ดวานซ์อินฟอร์เมชั่นเทคโนโลยี จำกัด (มหาชน),SET,TECH,ICT
AJ,A.J. PLAST PUBLIC COMPANY LIMITED,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),SET,INDUS,PKG
AJA,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),SET,CONSUMP,HOME
AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),SET,INDUS,IMM
AKS,AKS CORPORATION PUBLIC COMPANY LIMITED,บริษัท เอเคเอส คอร์ปอเรชั่น จำกัด (มหาชน),SET,PROPCON,PROP
ALLA,ALLA PUBLIC COMPANY LIMITED,บริษัท ออลล่า จำกัด (มหาชน),SET,INDUS,IMM
ALLY,ALLY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,SET,PROPCON,PF&REIT
ALT,ALT TELECOM PUBLIC COMPANY LIMITED,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),SET,TECH,ICT
ALUCON,ALUCON PUBLIC COMPANY LIMITED,บริษัท อลูคอน จำกัด (มหาชน),SET,INDUS,PKG
AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN
AMARIN,AMARIN CORPORATIONS PUBLIC COMPANY LIMITED,บริษัท อมรินทร์ คอร์เปอเรชั่นส์ จำกัด (มหาชน),SET,SERVICE,MEDIA
AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),SET,PROPCON,PROP
AMATAR,AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท,SET,PROPCON,PF&REIT
AMATAV,AMATA VN PUBLIC COMPANY LIMITED,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),SET,PROPCON,PROP
AMC,ASIA METAL PUBLIC COMPANY LIMITED,บริษัท เอเซีย เมทัล จำกัด (มหาชน),SET,INDUS,STEEL
AMR,AMR ASIA PUBLIC COMPANY LIMITED,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),SET,TECH,ICT
ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP
ANI,Asia Network International Public Company Limited,บริษัท เอเชีย เน็ตเวิร์ค อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,SERVICE,TRANS
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),SET,SERVICE,TRANS
AP,AP (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),SET,PROPCON,PROP
APCO,ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),SET,CONSUMP,PERSON
APCS,ASIA PRECISION PUBLIC COMPANY LIMITED,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),SET,PROPCON,CONS
APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),SET,AGRO,FOOD
AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA
AS,ASPHERE INNOVATIONS PUBLIC COMPANY LIMITED,บริษัท แอสเฟียร์ อินโนเวชั่นส์ จำกัด (มหาชน),SET,SERVICE,MEDIA
ASAP,SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY LIMITED,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),SET,FINCIAL,FIN
ASEFA,ASEFA PUBLIC COMPANY LIMITED,บริษัท อาซีฟา จำกัด (มหาชน),SET,INDUS,IMM
ASIA,ASIA HOTEL PUBLIC COMPANY LIMITED,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน),SET,SERVICE,TOURISM
ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD
ASIMAR,ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),SET,SERVICE,TRANS
ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN
ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,FINCIAL,FIN
ASW,ASSETWISE PUBLIC COMPANY LIMITED,บริษัท แอสเซทไวส์ จำกัด (มหาชน),SET,PROPCON,PROP
AURA,Aurora Design Public Company Limited,บริษัท ออโรร่า ดีไซน์ จำกัด (มหาชน),SET,CONSUMP,FASHION
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),SET,PROPCON,PROP
AXTRART,Axtra Future City Freehold and Leasehold Real Estate Investment Trust,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า แอ็กซ์ตร้า ฟิวเจอร์ ซิตี้,SET,PROPCON,PF&REIT
AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,บริษัท อลิอันซ์ อยุธยา แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,INSUR
B,BEGISTICS PUBLIC COMPANY LIMITED,บริษัท บี จิสติกส์ จำกัด (มหาชน),SET,SERVICE,TRANS
B52,B-52 CAPITAL PUBLIC COMPANY LIMITED,บริษัท บี-52 แคปปิตอล จำกัด (มหาชน),SET,SERVICE,COMM
BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,บริษัท การบินกรุงเทพ จำกัด (มหาชน),SET,SERVICE,TRANS
BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน),SET,RESOURC,ENERG
BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),SET,FINCIAL,FIN
BANPU,BANPU PUBLIC COMPANY LIMITED,บริษัท บ้านปู จำกัด (มหาชน),SET,RESOURC,ENERG
BAREIT,BA Airport Leasehold Real Estate Investment Trust,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์สนามบินการบินกรุงเทพ,SET,PROPCON,PF&REIT
BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),SET,FINCIAL,BANK
BBGI,BBGI PUBLIC COMPANY LIMITED,บริษัท บีบีจีไอ จำกัด (มหาชน),SET,RESOURC,ENERG
BBIK,BLUEBIK GROUP PUBLIC COMPANY LIMITED,บริษัท บลูบิค กรุ๊ป จำกัด (มหาชน),SET,TECH,ICT
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,ธนาคารกรุงเทพ จำกัด (มหาชน),SET,FINCIAL,BANK
BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,บริษัท บางกอก เชน ฮอสปิทอล จำกัด (มหาชน),SET,SERVICE,HELTH
BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG
BCPG,BCPG PUBLIC COMPANY LIMITED,บริษัท บีซีพีจี จำกัด (มหาชน),SET,RESOURC,ENERG
BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เบอร์ล่า คาร์บอน (ไทยแลนด์) จำกัด (มหาชน),SET,INDUS,PETRO
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน),SET,SERVICE,HELTH
BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),SET,SERVICE,COMM
BEC,BEC WORLD PUBLIC COMPANY LIMITED,บริษัท บีอีซี เวิลด์ จำกัด (มหาชน),SET,SERVICE,MEDIA
BEM,BANGKOK EXPRESSWAY AND METRO  PUBLIC COMPANY LIMITED,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),SET,SERVICE,TRANS
BEYOND,BOUND AND BEYOND PUBLIC COMPANY LIMITED,บริษัท เบาด์ แอนด์ บียอนด์ จำกัด (มหาชน),SET,SERVICE,TOURISM
